PLAYER,SCORE,STGAIND
Scottie Scheffler,68.26,2.314
Jon Rahm,68.82,1.679
Patrick Cantlay,68.83,1.869
Viktor Hovland,68.92,1.648
Rory McIlroy,68.92,2.102
Xander Schauffele,69.07,1.869
Tom Kim,69.17,0.949
Max Homa,69.2,1.638
Collin Morikawa,69.23,1.438
Eric Cole,69.26,1.026
Tommy Fleetwood,69.35,1.699
Brian Harman,69.35,0.689
Rickie Fowler,69.38,1.426
Wyndham Clark,69.4,1.201
Sungjae Im,69.4,1.049
Stephan Jaeger,69.44,0.836
Tyrrell Hatton,69.45,1.678
Russell Henley,69.46,0.869
Tony Finau,69.52,1.124
Denny McCarthy,69.57,1
Kevin Yu,69.57,0.241
Akshay Bhatia,69.58,0.249
Cam Davis,69.6,0.738
Andrew Putnam,69.6,0.681
Jason Day,69.64,0.855
Ben Griffin,69.7,0.644
J.T. Poston,69.71,0.628
Justin Rose,69.71,1.193
J.J. Spaun,69.71,0.514
Beau Hossler,69.72,0.45
Matt Kuchar,69.72,0.608
Byeong Hun An,69.74,0.698
Brendon Todd,69.74,0.746
Aaron Rai,69.76,0.615
Keegan Bradley,69.8,0.885
Nicolai Hojgaard,69.8,0.731
Adam Hadwin,69.81,0.709
Adam Scott,69.81,0.927
Corey Conners,69.82,0.925
Dylan Wu,69.82,0.615
Aaron Baddeley,69.83,0.281
Nate Lashley,69.83,0.331
Brandon Wu,69.84,0.116
Nick Taylor,69.85,0.67
Adam Svensson,69.86,0.725
Doug Ghim,69.87,0.29
Lucas Glover,69.89,0.444
Sam Ryder,69.89,0.546
Tom Hoge,69.9,0.482
Taylor Montgomery,69.9,0.417
Sahith Theegala,69.9,0.788
Mark Hubbard,69.94,0.646
Hideki Matsuyama,69.94,0.902
Greyson Sigg,69.94,0.322
Harry Hall,69.95,0.149
Si Woo Kim,69.95,0.757
Matt Fitzpatrick,69.96,0.921
Vincent Norrman,69.96,0.24
Patrick Rodgers,69.97,0.493
Chesson Hadley,69.98,0.19
Alex Smalley,69.98,0.414
Cameron Young,69.98,0.391
Joseph Bramlett,70,0.454
Chris Kirk,70.01,0.821
Ryan Moore,70.01,0.06
Sam Burns,70.04,0.796
Thomas Detry,70.06,0.292
K.H. Lee,70.06,0.402
Adam Schenk,70.06,0.689
Austin Eckroat,70.07,0.418
Nick Hardy,70.07,0.12
Davis Thompson,70.08,0.219
Ben Martin,70.12,0.078
Christiaan Bezuidenhout,70.13,0.215
Emiliano Grillo,70.13,0.266
Ryan Palmer,70.13,-0.008
Jordan Spieth,70.13,0.71
Maverick McNealy,70.15,0.316
Andrew Novak,70.15,0.412
Keith Mitchell,70.18,0.52
Michael Kim,70.19,0.35
Satoshi Kodaira,70.19,-0.103
Alex Noren,70.19,0.608
Justin Suh,70.19,0.141
Zac Blair,70.22,0.055
Sepp Straka,70.23,0.474
Harris English,70.24,0.465
Will Gordon,70.24,-0.114
Carson Young,70.24,-0.107
S.H. Kim,70.25,0.466
C.T. Pan,70.26,0.015
Scott Piercy,70.27,-0.159
Hayden Buckley,70.29,0.023
Seamus Power,70.29,-0.046
Tyler Duncan,70.3,-0.196
Justin Lower,70.3,-0.025
Robby Shelton,70.3,-0.037
Tano Goya,70.31,-0.367
Patton Kizzire,70.31,-0.401
Luke List,70.32,0.113
Sam Stevens,70.32,0.183
Lee Hodges,70.33,0.431
Taylor Moore,70.33,0.349
Martin Laird,70.35,-0.223
Erik van Rooyen,70.36,-0.415
Taylor Pendrith,70.37,0.185
Chris Stroud,70.38,-0.213
Justin Thomas,70.38,0.836
Matt NeSmith,70.39,0.041
Garrick Higgo,70.41,0.221
Adam Long,70.41,-0.103
Chad Ramey,70.42,-0.016
Brice Garnett,70.44,-0.026
Mackenzie Hughes,70.44,0.029
Shane Lowry,70.44,0.822
Kevin Tway,70.46,-0.273
MJ Daffue,70.47,-0.156
David Lipsky,70.48,-0.21
Kramer Hickok,70.49,-0.311
Henrik Norlander,70.49,-0.461
Kevin Roy,70.49,-0.294
Austin Smotherman,70.49,-0.351
Russell Knox,70.5,-0.323
Davis Riley,70.5,-0.112
Charley Hoffman,70.51,-0.263
Kevin Chappell,70.52,-0.126
Zecheng Dou,70.53,-0.361
Cameron Percy,70.54,0.1
Carl Yuan,70.54,-0.33
Matti Schmid,70.55,-0.139
Lucas Herbert,70.56,-0.252
Joel Dahmen,70.57,-0.186
Callum Tarren,70.58,-0.009
S.Y. Noh,70.6,-0.739
Cody Gribble,70.61,-0.209
Sean O'Hair,70.64,-0.445
Austin Cook,70.65,-0.73
Kurt Kitayama,70.65,0.125
Ryan Armour,70.66,-0.493
Stewart Cink,70.66,-0.407
Kelly Kraft,70.67,-0.506
Troy Merritt,70.67,-0.384
Harrison Endycott,70.69,-0.357
Gary Woodland,70.69,0.358
Doc Redman,70.7,-0.457
Kevin Streelman,70.71,0.168
Ryan Gerard,70.72,-0.174
Matt Wallace,70.74,-0.052
Robert Streb,70.75,-0.66
Cameron Champ,70.77,-0.433
Lanto Griffin,70.78,-0.274
Jonathan Byrd,70.81,-0.817
Ben Taylor,70.81,-0.017
Chez Reavie,70.82,-0.199
Augusto Núñez,70.83,-0.691
Peter Malnati,70.85,-0.185
Jimmy Walker,70.86,-0.164
James Hahn,70.88,-0.328
William McGirt,70.88,-0.132
Billy Horschel,70.89,0.047
Scott Stallings,70.89,-0.263
Trevor Cone,70.91,-0.286
Jason Dufner,70.93,-0.595
Matthias Schwab,70.96,-1.006
Zach Johnson,70.98,-0.419
Webb Simpson,70.98,-0.302
Nico Echavarria,70.99,-0.971
Harry Higgs,71,-1.19
Richy Werenski,71,-0.697
Tyson Alexander,71.02,-0.919
Martin Trainer,71.03,-1.122
Scott Harrington,71.08,-0.736
Wesley Bryan,71.09,-1.137
David Lingmerth,71.14,-0.581
Brian Stuard,71.17,-1.061
Danny Willett,71.18,-0.129
Paul Haley II,71.23,-1.012
Brent Grant,71.26,-1.498
Sung Kang,71.28,-0.831
Kyle Westmoreland,71.29,-0.944
Andrew Landry,71.32,-1.315
Trevor Werbylo,71.36,-1.039
Hank Lebioda,71.51,-0.998
Ryan Brehm,71.54,-1.143
Trey Mullinax,71.54,-0.537
Jim Herman,71.55,-1.437
Max McGreevy,71.6,-1.727
Michael Gligic,71.72,-1.418
Dylan Frittelli,71.84,-1.311
Nick Watney,72.08,-1.884
Brandon Matthews,72.24,-2.202
Justin Thomas,68.84,1.68
Scottie Scheffler,68.89,1.677
Cameron Smith,68.89,1.433
Rory McIlroy,68.9,2.115
Xander Schauffele,68.94,1.652
Patrick Cantlay,69.01,1.522
Tony Finau,69.17,1.499
Sungjae Im,69.22,1.668
Sam Burns,69.36,1.39
Aaron Wise,69.42,1.053
Talor Gooch,69.45,1.022
Hideki Matsuyama,69.49,1.015
Matt Fitzpatrick,69.5,1.792
Joaquin Niemann,69.5,1.274
Keith Mitchell,69.51,1.074
Mark Hubbard,69.53,0.6
Russell Henley,69.54,1.192
Will Zalatoris,69.55,1.767
Jon Rahm,69.59,1.656
Collin Morikawa,69.63,0.978
Cameron Young,69.65,1.265
Shane Lowry,69.66,1.175
Corey Conners,69.7,1.143
Seamus Power,69.72,0.55
Viktor Hovland,69.74,0.768
Charles Howell III,69.74,0.68
Jordan Spieth,69.74,0.839
Maverick McNealy,69.75,0.683
Taylor Pendrith,69.75,0.619
Matt Kuchar,69.77,0.756
J.T. Poston,69.78,0.697
Tommy Fleetwood,69.8,1.05
Billy Horschel,69.8,1.031
Denny McCarthy,69.81,0.837
Scott Stallings,69.86,0.558
Max Homa,69.87,1.343
Davis Riley,69.89,0.578
Brian Harman,69.9,0.608
Tyler Duncan,69.91,0.407
Mito Pereira,69.91,1.111
Tom Hoge,69.94,0.768
Christiaan Bezuidenhout,69.95,0.753
Adam Long,69.97,0.553
Alex Noren,69.97,0.482
Andrew Putnam,69.98,0.437
Brendon Todd,69.98,0.519
John Huh,69.99,0.276
Harold Varner III,69.99,0.554
Nate Lashley,70.01,0.29
Sahith Theegala,70.01,0.339
Trey Mullinax,70.06,0.197
Adam Hadwin,70.08,0.678
Adam Scott,70.08,0.619
Vince Whaley,70.08,-0.076
Cam Davis,70.09,0.542
Rory Sabbatini,70.09,0.263
Chris Kirk,70.1,0.999
Marc Leishman,70.11,0.784
Alex Smalley,70.12,0.12
Emiliano Grillo,70.13,0.448
Keegan Bradley,70.15,1.053
Kevin Kisner,70.15,0.387
Adam Svensson,70.15,0.193
Vaughn Taylor,70.15,-0.056
Aaron Rai,70.17,0.383
Matthias Schwab,70.17,0.261
Webb Simpson,70.17,0.367
Jhonattan Vegas,70.17,0.375
Russell Knox,70.18,0.143
Cameron Percy,70.18,-0.062
Abraham Ancer,70.19,0.139
Sebastián Muñoz,70.19,0.47
K.H. Lee,70.2,0.418
Taylor Moore,70.2,0.123
Kevin Streelman,70.2,0.397
Tyrrell Hatton,70.23,1.034
Lee Hodges,70.23,0.132
Greyson Sigg,70.23,-0.049
Satoshi Kodaira,70.25,0.046
J.J. Spaun,70.25,0.308
Martin Laird,70.26,0.39
Justin Rose,70.26,0.505
Michael Thompson,70.26,-0.11
Wyndham Clark,70.28,0.231
Matt Jones,70.28,0.394
Troy Merritt,70.31,0.506
Patrick Rodgers,70.31,0.563
Brandon Wu,70.31,-0.195
James Hahn,70.32,-0.058
Jason Day,70.33,0.201
Nick Hardy,70.34,0.115
Si Woo Kim,70.34,0.227
David Lipsky,70.34,0.346
Cameron Tringale,70.35,0.269
Jason Kokrak,70.38,0.337
Peter Malnati,70.38,0.08
Justin Lower,70.39,-0.261
Jonathan Byrd,70.4,-0.114
Brendan Steele,70.4,0.343
Joel Dahmen,70.41,-0.021
Robert Streb,70.41,0.047
Callum Tarren,70.42,0.208
Hayden Buckley,70.44,0.139
Michael Gligic,70.45,-0.101
Stephan Jaeger,70.45,0.107
C.T. Pan,70.45,0.276
Luke Donald,70.46,0.056
Matthew NeSmith,70.46,0.409
Sam Ryder,70.48,-0.028
Patton Kizzire,70.51,-0.143
Scott Piercy,70.51,0.012
Austin Smotherman,70.51,0.222
Kurt Kitayama,70.53,0.29
Hank Lebioda,70.53,0.061
Ryan Armour,70.54,0.237
Lanto Griffin,70.54,0.292
Bill Haas,70.54,-0.29
Luke List,70.54,0.476
Pat Perez,70.55,0.402
Kelly Kraft,70.58,-0.121
Anirban Lahiri,70.58,0.231
Ryan Palmer,70.58,0.142
Chez Reavie,70.58,-0.184
Gary Woodland,70.61,0.804
Brice Garnett,70.62,-0.104
Andrew Novak,70.62,-0.322
Doug Ghim,70.65,-0.157
Ben Kohles,70.67,-0.52
Mackenzie Hughes,70.68,0.302
Chad Ramey,70.68,-0.51
Doc Redman,70.68,-0.264
Stewart Cink,70.69,-0.252
Dylan Frittelli,70.69,-0.041
Henrik Norlander,70.71,-0.478
Scott Gutschewski,70.73,-0.258
Chesson Hadley,70.73,-0.173
Nick Taylor,70.73,-0.072
Kramer Hickok,70.74,-0.285
Austin Cook,70.75,-0.281
S.Y. Noh,70.75,-0.368
Jared Wolfe,70.76,-0.644
Lucas Glover,70.78,-0.195
Chase Seiffert,70.78,-0.289
Hudson Swafford,70.78,-0.314
Brian Stuard,70.79,-0.656
Brooks Koepka,70.8,0.124
Carlos Ortiz,70.82,-0.622
Sepp Straka,70.82,-0.029
Kevin Tway,70.83,-0.572
Charley Hoffman,70.86,-0.593
Jim Knous,70.86,-0.312
Ian Poulter,70.86,0.283
Kiradech Aphibarnrat,70.87,-0.674
Branden Grace,70.88,-0.834
Zach Johnson,70.88,-0.203
Danny Lee,70.9,-0.654
Joseph Bramlett,70.93,-0.54
